Title,director,duration,actor_1,actor_2,actor_3,gross,genres,plot_keywords,budget,year,keywords,combination
The Lovers,Roland Joffé,109,Tamsin Egerton,Alice Englert,Bipasha Basu,0,Action Adventure Romance Sci-Fi,1770s british india great barrier reef india ring,0,2015,1770s british india great barrier reef ring,RolandJoffé TamsinEgerton AliceEnglert BipashaBasu Action Adventure Romance Sci-Fi 1770s british india great barrier reef ring
47 Ronin,Carl Rinsch,128,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,38297305,Action Adventure Drama Fantasy,box office flop ronin samurai shogun tournament,175000000,2013,box office flop ronin samurai shogun tournament,CarlRinsch KeanuReeves Cary-HiroyukiTagawa JinAkanishi Action Adventure Drama Fantasy box office flop ronin samurai shogun tournament
Captain America: The Winter Soldier,Anthony Russo,136,Scarlett Johansson,Chris Evans,Hayley Atwell,259746958,Action Adventure Sci-Fi,conspiracy heroism megalomaniac super soldier world domination,170000000,2014,conspiracy heroism megalomaniac super soldier world domination,AnthonyRusso ScarlettJohansson ChrisEvans HayleyAtwell Action Adventure Sci-Fi conspiracy heroism megalomaniac super soldier world domination
Shrek Forever After,Mike Mitchell,93,Jon Hamm,Kathy Griffin,Mary Kay Place,238371987,Adventure Animation Comedy Family Fantasy,alternate world fairy tale parody female warrior ogre true love,165000000,2010,alternate world fairy tale parody female warrior ogre true love,MikeMitchell JonHamm KathyGriffin MaryKayPlace Adventure Animation Comedy Family Fantasy alternate world fairy tale parody female warrior ogre true love
Tomorrowland,Brad Bird,130,Judy Greer,Chris Bauer,Thomas Robinson,93417865,Action Adventure Family Mystery Sci-Fi,boy genius futuristic city inventor teenage girl time travel,190000000,2015,boy genius futuristic city inventor teenage girl time travel,BradBird JudyGreer ChrisBauer ThomasRobinson Action Adventure Family Mystery Sci-Fi boy genius futuristic city inventor teenage girl time travel
Big Hero 6,Don Hall,102,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,222487711,Action Adventure Animation Comedy Drama Family Sci-Fi,high tech martial arts masked man robot superhero,165000000,2014,high tech martial art masked man robot superhero,DonHall DamonWayansJr. DanielHenney AbrahamBenrubi Action Adventure Animation Comedy Drama Family Sci-Fi high tech martial art masked man robot superhero
Wreck-It Ralph,Rich Moore,101,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,189412677,Adventure Animation Comedy Family Sci-Fi,arcade candy glitch king medal,165000000,2012,arcade candy glitch king medal,RichMoore JackMcBrayer SarahSilverman JoeLoTruglio Adventure Animation Comedy Family Sci-Fi arcade candy glitch king medal
The Polar Express,Robert Zemeckis,100,Tom Hanks,Eddie Deezen,Peter Scolari,665426,Adventure Animation Family Fantasy,boy christmas christmas eve north pole train,165000000,2004,boy christmas eve north pole train,RobertZemeckis TomHanks EddieDeezen PeterScolari Adventure Animation Family Fantasy boy christmas eve north pole train
Independence Day: Resurgence,Roland Emmerich,120,Vivica A. Fox,Sela Ward,Judd Hirsch,102315545,Action Adventure Sci-Fi,alien battle defense independence day mothership,165000000,2016,alien battle defense independence day mothership,RolandEmmerich VivicaA.Fox SelaWard JuddHirsch Action Adventure Sci-Fi alien battle defense independence day mothership
How to Train Your Dragon,Dean DeBlois,98,Gerard Butler,America Ferrera,Craig Ferguson,217387997,Adventure Animation Family Fantasy,dragon island training viking village,165000000,2010,dragon island training viking village,DeanDeBlois GerardButler AmericaFerrera CraigFerguson Adventure Animation Family Fantasy dragon island training viking village
Terminator 3: Rise of the Machines,Jonathan Mostow,109,Nick Stahl,M.C. Gainey,Carolyn Hennesy,150350192,Action Sci-Fi,drifter exploding truck future machine skynet,200000000,2003,drifter exploding truck future machine skynet,JonathanMostow NickStahl M.C.Gainey CarolynHennesy Action Sci-Fi drifter exploding truck future machine skynet
Guardians of the Galaxy,James Gunn,121,Bradley Cooper,Vin Diesel,Djimon Hounsou,333130696,Action Adventure Sci-Fi,bounty hunter outer space raccoon talking animal tree,170000000,2014,bounty hunter outer space raccoon talking animal tree,JamesGunn BradleyCooper VinDiesel DjimonHounsou Action Adventure Sci-Fi bounty hunter outer space raccoon talking animal tree
Interstellar,Christopher Nolan,169,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,187991439,Adventure Drama Sci-Fi,black hole father daughter relationship saving the world space travel wormhole,165000000,2014,black hole father daughter relationship saving world space travel wormhole,ChristopherNolan MatthewMcConaughey AnneHathaway MackenzieFoy Adventure Drama Sci-Fi black hole father daughter relationship saving world space travel wormhole
Inception,Christopher Nolan,148,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,292568851,Action Adventure Sci-Fi Thriller,ambiguous ending corporate espionage dream subconscious thief,160000000,2010,ambiguous ending corporate espionage dream subconscious thief,ChristopherNolan LeonardoDiCaprio TomHardy JosephGordon-Levitt Action Adventure Sci-Fi Thriller ambiguous ending corporate espionage dream subconscious thief
Godzilla Resurgence,Hideaki Anno,120,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,0,Action Adventure Drama Horror Sci-Fi,blood godzilla monster sequel,0,2016,blood godzilla monster sequel,HideakiAnno MarkChinnery Shin'yaTsukamoto AtsukoMaeda Action Adventure Drama Horror Sci-Fi blood godzilla monster sequel
The Hobbit: An Unexpected Journey,Peter Jackson,182,Aidan Turner,Adam Brown,James Nesbitt,303001229,Adventure Fantasy,dragon dwarf hobbit orc wizard,180000000,2012,dragon dwarf hobbit orc wizard,PeterJackson AidanTurner AdamBrown JamesNesbitt Adventure Fantasy dragon dwarf hobbit orc wizard
The Fast and the Furious,Rob Cohen,106,Paul Walker,Vin Diesel,Jordana Brewster,144512310,Action Crime Thriller,eighteen wheeler illegal street racing truck trucker undercover cop,38000000,2001,eighteen wheeler illegal street racing truck trucker undercover cop,RobCohen PaulWalker VinDiesel JordanaBrewster Action Crime Thriller eighteen wheeler illegal street racing truck trucker undercover cop
The Curious Case of Benjamin Button,David Fincher,166,Brad Pitt,Jason Flemyng,Julia Ormond,127490802,Drama Fantasy Romance,deformed baby diary lingerie slip older man younger woman relationship premature aging,150000000,2008,deformed baby diary lingerie slip older man younger woman relationship premature aging,DavidFincher BradPitt JasonFlemyng JuliaOrmond Drama Fantasy Romance deformed baby diary lingerie slip older man younger woman relationship premature aging
X-Men: First Class,Matthew Vaughn,132,Jennifer Lawrence,Michael Fassbender,Oliver Platt,146405371,Action Adventure Sci-Fi,cia cia agent mutant nuclear war professor,160000000,2011,cia agent mutant nuclear war professor,MatthewVaughn JenniferLawrence MichaelFassbender OliverPlatt Action Adventure Sci-Fi cia agent mutant nuclear war professor
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,137,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,281666058,Adventure Sci-Fi,death of sister dystopia execution rebellion revolution,160000000,2015,death sister dystopia execution rebellion revolution,FrancisLawrence JenniferLawrence PhilipSeymourHoffman JoshHutcherson Adventure Sci-Fi death sister dystopia execution rebellion revolution
The Sorcerer's Apprentice,Jon Turteltaub,109,Nicolas Cage,Omar Benson Miller,Robert Capron,63143812,Action Adventure Family Fantasy,chosen one enchanted object love spell training,150000000,2010,chosen one enchanted object love spell training,JonTurteltaub NicolasCage OmarBensonMiller RobertCapron Action Adventure Family Fantasy chosen one enchanted object love spell training
Poseidon,Wolfgang Petersen,98,Jimmy Bennett,Mike Vogel,Andre Braugher,60655503,Action Adventure Drama Thriller,cruise escape ocean passenger water,160000000,2006,cruise escape ocean passenger water,WolfgangPetersen JimmyBennett MikeVogel AndreBraugher Action Adventure Drama Thriller cruise escape ocean passenger water
Alice Through the Looking Glass,James Bobin,113,Johnny Depp,Alan Rickman,Anne Hathaway,76846624,Adventure Family Fantasy,clock dark fantasy mad hatter queen sequel,170000000,2016,clock dark fantasy mad hatter queen sequel,JamesBobin JohnnyDepp AlanRickman AnneHathaway Adventure Family Fantasy clock dark fantasy mad hatter queen sequel
Shrek the Third,Chris Miller,93,Justin Timberlake,Eric Idle,Rupert Everett,320706665,Adventure Animation Comedy Family Fantasy,disney spoof fairy tale prince princess tough guy,160000000,2007,disney spoof fairy tale prince princess tough guy,ChrisMiller JustinTimberlake EricIdle RupertEverett Adventure Animation Comedy Family Fantasy disney spoof fairy tale prince princess tough guy
Warcraft,Duncan Jones,123,Dominic Cooper,Callum Rennie,Ruth Negga,46978995,Action Adventure Fantasy,based on video game fictional language fictional war orc sword and sorcery,160000000,2016,based video game fictional language war orc sword sorcery,DuncanJones DominicCooper CallumRennie RuthNegga Action Adventure Fantasy based video game fictional language war orc sword sorcery
Terminator Genisys,Alan Taylor,126,J.K. Simmons,Emilia Clarke,Matt Smith,89732035,Action Adventure Sci-Fi,alternate timeline cyborg future robot time machine,155000000,2015,alternate timeline cyborg future robot time machine,AlanTaylor J.K.Simmons EmiliaClarke MattSmith Action Adventure Sci-Fi alternate timeline cyborg future robot time machine
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,113,Bruce Spence,Shane Rangi,Laura Brent,104383624,Adventure Family Fantasy,dragon king mouse quest warrior,155000000,2010,dragon king mouse quest warrior,MichaelApted BruceSpence ShaneRangi LauraBrent Adventure Family Fantasy dragon king mouse quest warrior
Pearl Harbor,Michael Bay,184,Jennifer Garner,Jaime King,Mako,198539855,Action Drama History Romance War,air raid black smoke japanese military japanese navy sunday,140000000,2001,air raid black smoke japanese military navy sunday,MichaelBay JenniferGarner JaimeKing Mako Action Drama History Romance War air raid black smoke japanese military navy sunday
Transformers,Michael Bay,144,Zack Ward,Michael O'Neill,Kevin Dunn,318759914,Action Adventure Sci-Fi,alien contact autobot decepticon robot vs. robot teenage hero,150000000,2007,alien contact autobot decepticon robot v teenage hero,MichaelBay ZackWard MichaelO'Neill KevinDunn Action Adventure Sci-Fi alien contact autobot decepticon robot v teenage hero
Alexander,Oliver Stone,206,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,34293771,Action Adventure Biography Drama History Romance War,ancient greece conquest greek greek myth king,155000000,2004,ancient greece conquest greek myth king,OliverStone AnthonyHopkins AngelinaJoliePitt BrianBlessed Action Adventure Biography Drama History Romance War ancient greece conquest greek myth king
Harry Potter and the Order of the Phoenix,David Yates,138,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,292000866,Adventure Family Fantasy Mystery,battle magic school teacher wizard,150000000,2007,battle magic school teacher wizard,DavidYates RobertPattinson DanielRadcliffe FionaShaw Adventure Family Fantasy Mystery battle magic school teacher wizard
Harry Potter and the Goblet of Fire,Mike Newell,157,Robert Pattinson,Daniel Radcliffe,Rupert Grint,289994397,Adventure Family Fantasy Mystery,fire goblet magic tournament wizard,150000000,2005,fire goblet magic tournament wizard,MikeNewell RobertPattinson DanielRadcliffe RupertGrint Adventure Family Fantasy Mystery fire goblet magic tournament wizard
Hancock,Peter Berg,102,Will Smith,Charlize Theron,Eddie Marsan,227946274,Action Drama,bully comeuppance destruction prison superhero tough girl,150000000,2008,bully comeuppance destruction prison superhero tough girl,PeterBerg WillSmith CharlizeTheron EddieMarsan Action Drama bully comeuppance destruction prison superhero tough girl
I Am Legend,Francis Lawrence,104,Will Smith,Alice Braga,Willow Smith,256386216,Drama Horror Sci-Fi,new york city pandemic post apocalypse survivalist virus,150000000,2007,new york city pandemic post apocalypse survivalist virus,FrancisLawrence WillSmith AliceBraga WillowSmith Drama Horror Sci-Fi new york city pandemic post apocalypse survivalist virus
Charlie and the Chocolate Factory,Tim Burton,115,Johnny Depp,Christopher Lee,David Kelly,206456431,Adventure Comedy Family Fantasy,chocolate diminution miniaturization physical flexability ticket,150000000,2005,chocolate diminution miniaturization physical flexability ticket,TimBurton JohnnyDepp ChristopherLee DavidKelly Adventure Comedy Family Fantasy chocolate diminution miniaturization physical flexability ticket
Ratatouille,Brad Bird,111,Janeane Garofalo,John Ratzenberger,Brian Dennehy,206435493,Animation Comedy Family Fantasy,chef food french rat restaurant,150000000,2007,chef food french rat restaurant,BradBird JaneaneGarofalo JohnRatzenberger BrianDennehy Animation Comedy Family Fantasy chef food french rat restaurant
Batman Begins,Christopher Nolan,128,Christian Bale,Liam Neeson,Morgan Freeman,205343774,Action Adventure,armored car gangster gotham mixed martial arts social decay,150000000,2005,armored car gangster gotham mixed martial art social decay,ChristopherNolan ChristianBale LiamNeeson MorganFreeman Action Adventure armored car gangster gotham mixed martial art social decay
Madagascar: Escape 2 Africa,Eric Darnell,89,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,179982968,Action Adventure Animation Comedy Family,africa madagascar new york city sequel zoo,150000000,2008,africa madagascar new york city sequel zoo,EricDarnell BernieMac JadaPinkettSmith CedrictheEntertainer Action Adventure Animation Comedy Family africa madagascar new york city sequel zoo
Night at the Museum: Battle of the Smithsonian,Shawn Levy,105,Robin Williams,Rami Malek,Steve Coogan,177243721,Adventure Comedy Family Fantasy,hdtv motorcycle museum security guard tyrannosaurus rex,150000000,2009,hdtv motorcycle museum security guard tyrannosaurus rex,ShawnLevy RobinWilliams RamiMalek SteveCoogan Adventure Comedy Family Fantasy hdtv motorcycle museum security guard tyrannosaurus rex
X-Men Origins: Wolverine,Gavin Hood,119,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,179883016,Action Adventure Fantasy Sci-Fi Thriller,army civil war claw fight commando wolverine the character,150000000,2009,army civil war claw fight commando wolverine character,GavinHood HughJackman RyanReynolds DominicMonaghan Action Adventure Fantasy Sci-Fi Thriller army civil war claw fight commando wolverine character
